AWS filename	M3U8 filename		Test file
ahier.m4v	vdam2JSs		
concl.m4v	485vGBaO		
consc.m4v	jO372DCb		
cq1.m4v	oLt0U0eN		lTYVK4YF
cq2.m4v	0UpquOOe		ZKrpKwV7
cq3.m4v	bzn9qE0H		99aeKY8j
cqjpsw.m4v	cG9RZBvP		
damasio1-lg.m4v	PodOfSod		
damasio2-lg.m4v	e9uLpOsm		
damasio2qa-lg.m4v	hIEjV3ku		
damon-lg.m4v	2dkt75mV		
davidson-lg.m4v	e2Yqud0x		
davidsonqa-lg.m4v	d7t3OEAa		
defin.m4v	c3qG7lYV		
disti.m4v	WYAGD3AI		
downw.m4v	ELEOfojd		
ekman-lg.m4v	R0HACn2N		
ekmanqa-lg.m4v	5FWMl72J		
far.m4v	ZPhp6qMr		
gabrieli-lg.m4v	P2qFhVXK		
haught.m4v	oPtUdE53		
hefner.m4v	T2r9oWyP		
hodg.m4v	33TiMHQk		
hurlbut-lg.m4v	NLNTnnrw		
ieintro.m4v	R9XShgFr		
index.m4v	ReEBpwTD		
joy.m4v	6D4ycQLq		
konner-lg.m4v	iEBvuzVj		
konnerqa-lg.m4v	GaCqsOOO		
lodahl.m4v	r3STkIvR		
lovins1.m4v	BZP7QNRj		
lovins2.m4v	YOZ0sqeI		
lsull.m4v	gG6iwOgf		
mchugh-lg.m4v	LLhiXcO6		
merzenich-lg.m4v	KmaCClfW		
merzenichqa-lg.m4v	HuICajCE		
meyer.m4v	gXabj18n		
meyerqm.m4v	jDcFDQvF		
miller.m4v	vuAOfndH		
miller2.m4v	XyIhz9xn		
myers.m4v	8y8qRSK0		
niles-qa.m4v	gwuSuFax		
niles.m4v	UySefxpy		
oakes-lg.m4v	6fXIvr2f		
panel.m4v	3AyHs0Qx		
panel-lg.m4v	q1ksu8vc		
panelqa-lg.m4v	LbWbgRwf		
panldis1.m4v	3X2264Z6		
panldis10.m4v	9Dv4ftQL		
panldis2.m4v	IivdAWi6		
panldis3.m4v	Ql5V6THu		
panldis4.m4v	PYqQhvH5		
panldis5.m4v	gPP3i7f8		
panldis6.m4v	z0mZCt9m		
panldis7.m4v	utKpz4r1		
panldis8.m4v	jp9tU92c		
panldis9.m4v	Aj5n7BYo		
pell-lg.m4v	veVewNdJ		
pellqa-lg.m4v	3Td9kYH9		
physi.m4v	f81GwCna		
polk.m4v	y5Kg38Sm		
presdg.m4v	5UIuenzc		
preses.m4v	CRHFyQVp		
presjs.m4v	zsTix0p0		
presmb.m4v	4aBOoFhq		
presmr.m4v	PA9kpvFR		
presrr.m4v	80hGnuEB		
pressm.m4v	lG9jhVCR		
qa.m4v	qGkOJpbB		
rama-lg.m4v	x83CiU7Y		
ramaqa-lg.m4v	Unh6HFR0		
reduc.m4v	C9uB6RE8		
rose-lg.m4v	YxEkll6B		
roseqa-lg.m4v	mfzM1wJv		
sapolsky-lg.m4v	8sHxO66S		
sapolskyqa-lg.m4v	lzuX4Ns1		
schloss.m4v	b8K1AOM7		
scottnord.m4v	QqgkAG3m		
spitzer.m4v	fN7Z4oip		
ssqint1.m4v	kq8qKfgt		
ssqint2.m4v	mNB9kEDl		
ssqint3.m4v	hxmC3DO4		
ssqsj1.m4v	YBcQvNZB		
ssqsj2.m4v	eVdFPBNT		
stannard.m4v	ngIArMJp		
stemc1.m4v	WGvMUxg0		
stemc2.m4v	ye7G5s6Q		
wdemb.m4v	aj2bITjk		
welsberry.m4v	kvW1lqj3		
zigmond-lg.m4v	IVK6VNiR		